,cell,seurat
1249,D31-6_92,1
1250,D31-6_93,6
1251,D31-6_94,3
1252,D31-7_1,1
1253,D31-7_2,3
1254,D31-7_3,1
1255,D31-7_4,7
1256,D31-7_6,3
1257,D31-7_8,3
1258,D31-7_9,5
1259,D31-7_10,6
1260,D31-7_11,5
1261,D31-7_14,3
1262,D31-7_15,4
1263,D31-7_16,6
1264,D31-7_17,3
1265,D31-7_18,6
1266,D31-7_19,3
1267,D31-7_20,7
1268,D31-7_21,5
1269,D31-7_22,1
1270,D31-7_23,6
1271,D31-7_25,3
1272,D31-7_26,6
1273,D31-7_28,3
1274,D31-7_29,6
1275,D31-7_30,3
1276,D31-7_32,7
1277,D31-7_33,3
1278,D31-7_34,1
1279,D31-7_35,3
1280,D31-7_36,3
1281,D31-7_37,3
1282,D31-7_38,5
1283,D31-7_39,1
1284,D31-7_40,1
1285,D31-7_41,3
1286,D31-7_42,6
1287,D31-7_44,3
1288,D31-7_45,1
1289,D31-7_46,1
1290,D31-7_47,1
1291,D31-7_48,7
1292,D31-7_49,3
1293,D31-7_50,3
1294,D31-7_51,3
1295,D31-7_53,1
1296,D31-7_54,3
1297,D31-7_55,1
1298,D31-7_56,6
1299,D31-7_57,6
1300,D31-7_58,5
1301,D31-7_59,1
1302,D31-7_60,1
1303,D31-7_61,2
1304,D31-7_62,3
1305,D31-7_63,5
1306,D31-7_64,3
1307,D31-7_65,3
1308,D31-7_66,4
1309,D31-7_67,1
1310,D31-7_68,3
1311,D31-7_69,1
1312,D31-7_70,5
1313,D31-7_71,3
1314,D31-7_72,1
1315,D31-7_73,6
1316,D31-7_74,1
1317,D31-7_76,1
1318,D31-7_77,5
1319,D31-7_79,4
1320,D31-7_80,3
1321,D31-7_81,4
1322,D31-7_84,1
1323,D31-7_85,1
1324,D31-7_87,1
1325,D31-7_89,6
1326,D31-7_91,1
1327,D31-7_92,4
1328,D31-7_93,2
1329,D31-7_94,1
1330,D31-8_1,4
1331,D31-8_2,3
1332,D31-8_3,1
1333,D31-8_4,5
1334,D31-8_5,2
1335,D31-8_6,2
1336,D31-8_7,5
1337,D31-8_8,1
1338,D31-8_9,3
1339,D31-8_11,5
1340,D31-8_12,3
1341,D31-8_13,1
1342,D31-8_14,3
1343,D31-8_15,4
1344,D31-8_17,4
1345,D31-8_18,7
1346,D31-8_19,6
1347,D31-8_20,6
1348,D31-8_21,1
1349,D31-8_23,6
1350,D31-8_24,3
1351,D31-8_25,4
1352,D31-8_26,4
1353,D31-8_27,5
1354,D31-8_28,4
1355,D31-8_29,1
1356,D31-8_30,6
1357,D31-8_31,1
1358,D31-8_33,3
1359,D31-8_34,4
1360,D31-8_36,4
1361,D31-8_37,6
1362,D31-8_38,3
1363,D31-8_39,7
1364,D31-8_40,5
1365,D31-8_41,1
1366,D31-8_42,1
1367,D31-8_43,1
1368,D31-8_44,3
1369,D31-8_45,6
1370,D31-8_46,2
1371,D31-8_47,7
1372,D31-8_48,1
1373,D31-8_49,1
1374,D31-8_50,1
1375,D31-8_52,3
1376,D31-8_53,5
1377,D31-8_56,7
1378,D31-8_58,6
1379,D31-8_60,1
1380,D31-8_61,2
1381,D31-8_62,2
1382,D31-8_63,5
1383,D31-8_64,1
1384,D31-8_65,2
1385,D31-8_66,4
1386,D31-8_67,4
1387,D31-8_69,4
1388,D31-8_70,4
1389,D31-8_71,4
1390,D31-8_73,1
1391,D31-8_74,1
1392,D31-8_75,6
1393,D31-8_76,4
1394,D31-8_77,6
1395,D31-8_78,1
1396,D31-8_80,6
1397,D31-8_81,5
1398,D31-8_82,3
1399,D31-8_83,1
1400,D31-8_84,1
1401,D31-8_85,6
1402,D31-8_86,2
1403,D31-8_87,4
1404,D31-8_88,1
1405,D31-8_89,5
1406,D31-8_90,6
1407,D31-8_91,5
1408,D31-8_92,7
1409,D31-8_93,3
1410,D31-8_94,6
1411,D30-1_1,5
1412,D30-1_4,1
1413,D30-1_5,4
1414,D30-1_6,4
1415,D30-1_7,3
1416,D30-1_9,3
1417,D30-1_10,3
1418,D30-1_13,6
1419,D30-1_14,1
1420,D30-1_15,3
1421,D30-1_16,3
1422,D30-1_17,3
1423,D30-1_19,5
1424,D30-1_20,4
1425,D30-1_21,3
1426,D30-1_22,7
1427,D30-1_23,3
1428,D30-1_24,3
1429,D30-1_25,7
1430,D30-1_26,1
1431,D30-1_27,3
1432,D30-1_28,3
1433,D30-1_29,5
1434,D30-1_30,5
1435,D30-1_31,6
1436,D30-1_33,1
1437,D30-1_35,3
1438,D30-1_36,6
1439,D30-1_37,3
1440,D30-1_38,3
1441,D30-1_39,1
1442,D30-1_40,3
1443,D30-1_41,1
1444,D30-1_42,6
1445,D30-1_43,6
1446,D30-1_44,7
1447,D30-1_45,1
1448,D30-1_46,6
1449,D30-1_47,3
1450,D30-1_49,3
1451,D30-1_51,1
1452,D30-1_52,1
1453,D30-1_53,1
1454,D30-1_54,3
1455,D30-1_55,5
1456,D30-1_56,2
1457,D30-1_58,2
1458,D30-1_59,3
1459,D30-1_60,3
1460,D30-1_61,5
1461,D30-1_63,5
1462,D30-1_64,2
1463,D30-1_65,1
1464,D30-1_66,1
1465,D30-1_67,1
1466,D30-1_70,7
1467,D30-1_71,3
1468,D30-1_72,5
1469,D30-1_73,3
1470,D30-1_74,1
1471,D30-1_75,2
1472,D30-1_78,6
1473,D30-1_79,7
1474,D30-1_81,3
1475,D30-1_82,3
1476,D30-1_83,4
1477,D30-1_84,3
1478,D30-1_85,1
1479,D30-1_86,3
1480,D30-1_87,3
1481,D30-1_88,6
1482,D30-1_89,1
1483,D30-1_90,3
1484,D30-1_91,5
1485,D30-1_93,1
1486,D30-1_94,1
1487,D30-2_1,5
1488,D30-2_2,2
1489,D30-2_3,4
1490,D30-2_4,6
1491,D30-2_5,2
1492,D30-2_6,7
1493,D30-2_7,1
1494,D30-2_8,4
1495,D30-2_9,6
1496,D30-2_10,3
1497,D30-2_11,5
1498,D30-2_12,3
1499,D30-2_13,2
1500,D30-2_14,2
1501,D30-2_15,2
1502,D30-2_16,2
1503,D30-2_17,5
1504,D30-2_18,3
1505,D30-2_19,3
1506,D30-2_20,4
1507,D30-2_21,2
1508,D30-2_22,4
1509,D30-2_23,2
1510,D30-2_24,3
1511,D30-2_25,3
1512,D30-2_26,4
1513,D30-2_27,5
1514,D30-2_28,2
1515,D30-2_29,7
1516,D30-2_30,1
1517,D30-2_31,4
1518,D30-2_32,1
1519,D30-2_33,1
1520,D30-2_34,3
1521,D30-2_35,6
1522,D30-2_37,2
1523,D30-2_38,7
1524,D30-2_40,6
1525,D30-2_41,5
1526,D30-2_42,5
1527,D30-2_43,5
1528,D30-2_44,1
1529,D30-2_45,5
1530,D30-2_46,1
1531,D30-2_47,3
1532,D30-2_48,1
1533,D30-2_49,4
1534,D30-2_50,6
1535,D30-2_51,5
1536,D30-2_52,4
1537,D30-2_53,5
1538,D30-2_54,4
1539,D30-2_55,1
1540,D30-2_56,5
1541,D30-2_57,1
1542,D30-2_58,6
1543,D30-2_59,7
1544,D30-2_60,5
1545,D30-2_61,1
1546,D30-2_62,2
1547,D30-2_65,2
1548,D30-2_67,1
1549,D30-2_68,2
1550,D30-2_71,1
1551,D30-2_72,2
1552,D30-2_73,3
1553,D30-2_74,1
1554,D30-2_75,4
1555,D30-2_76,5
1556,D30-2_77,7
1557,D30-2_78,2
1558,D30-2_79,7
1559,D30-2_80,2
1560,D30-2_81,2
1561,D30-2_82,4
1562,D30-2_83,1
1563,D30-2_84,7
1564,D30-2_85,2
1565,D30-2_86,3
1566,D30-2_87,1
1567,D30-2_88,3
1568,D30-2_89,4
1569,D30-2_90,1
1570,D30-2_91,2
1571,D30-2_92,7
1572,D30-2_93,7
1573,D30-2_94,3
1574,D30-3_1,2
1575,D30-3_2,5
1576,D30-3_3,1
1577,D30-3_4,2
1578,D30-3_5,2
1579,D30-3_6,7
1580,D30-3_7,7
1581,D30-3_8,6
1582,D30-3_9,1
1583,D30-3_10,1
1584,D30-3_11,2
1585,D30-3_12,4
1586,D30-3_13,1
1587,D30-3_14,1
1588,D30-3_15,4
1589,D30-3_16,2
1590,D30-3_17,6
1591,D30-3_18,4
1592,D30-3_19,2
1593,D30-3_20,3
1594,D30-3_21,4
1595,D30-3_22,4
1596,D30-3_23,4
1597,D30-3_24,6
1598,D30-3_25,2
1599,D30-3_26,3
1600,D30-3_27,3
1601,D30-3_28,3
1602,D30-3_29,3
1603,D30-3_30,3
1604,D30-3_31,2
1605,D30-3_32,6
1606,D30-3_33,3
1607,D30-3_34,3
1608,D30-3_35,2
1609,D30-3_36,1
1610,D30-3_37,2
1611,D30-3_38,1
1612,D30-3_39,7
1613,D30-3_40,3
1614,D30-3_41,2
1615,D30-3_42,2
1616,D30-3_43,4
1617,D30-3_44,2
1618,D30-3_45,5
1619,D30-3_46,2
1620,D30-3_47,2
1621,D30-3_48,2
1622,D30-3_49,6
1623,D30-3_50,2
1624,D30-3_51,1
1625,D30-3_52,1
1626,D30-3_53,1
1627,D30-3_54,1
1628,D30-3_55,1
1629,D30-3_56,6
1630,D30-3_57,1
1631,D30-3_58,1
1632,D30-3_59,7
1633,D30-3_60,2
1634,D30-3_61,7
1635,D30-3_62,1
1636,D30-3_63,5
1637,D30-3_64,2
1638,D30-3_65,2
1639,D30-3_67,1
1640,D30-3_68,2
1641,D30-3_69,4
1642,D30-3_70,2
1643,D30-3_71,1
1644,D30-3_72,7
1645,D30-3_73,2
1646,D30-3_74,2
1647,D30-3_75,4
1648,D30-3_76,4
1649,D30-3_77,1
1650,D30-3_78,1
1651,D30-3_79,2
1652,D30-3_80,2
1653,D30-3_81,1
1654,D30-3_82,4
1655,D30-3_86,2
1656,D30-3_88,2
1657,D30-3_89,1
1658,D30-3_90,6
1659,D30-3_91,5
1660,D30-3_92,3
1661,D30-3_93,2
1662,D30-3_94,7
1663,D30-4_1,1
1664,D30-4_2,1
1665,D30-4_3,3
1666,D30-4_5,4
1667,D30-4_6,2
1668,D30-4_7,6
1669,D30-4_8,1
1670,D30-4_9,1
1671,D30-4_10,7
1672,D30-4_11,2
1673,D30-4_12,2
1674,D30-4_13,6
1675,D30-4_14,4
1676,D30-4_15,1
1677,D30-4_16,6
1678,D30-4_17,4
1679,D30-4_18,5
1680,D30-4_19,2
1681,D30-4_20,2
1682,D30-4_21,2
1683,D30-4_22,4
1684,D30-4_23,5
1685,D30-4_24,3
1686,D30-4_25,3
1687,D30-4_26,4
1688,D30-4_27,6
1689,D30-4_28,4
1690,D30-4_29,3
1691,D30-4_30,7
1692,D30-4_31,6
1693,D30-4_32,1
1694,D30-4_33,1
1695,D30-4_34,1
1696,D30-4_35,7
1697,D30-4_36,2
1698,D30-4_37,2
1699,D30-4_38,6
1700,D30-4_39,2
1701,D30-4_40,2
1702,D30-4_41,2
1703,D30-4_42,6
1704,D30-4_43,2
1705,D30-4_44,6
1706,D30-4_46,6
1707,D30-4_47,2
1708,D30-4_48,1
1709,D30-4_49,2
1710,D30-4_50,2
1711,D30-4_51,6
1712,D30-4_52,2
1713,D30-4_53,6
1714,D30-4_54,2
1715,D30-4_55,7
1716,D30-4_58,6
1717,D30-4_59,4
1718,D30-4_60,2
1719,D30-4_61,1
1720,D30-4_62,5
1721,D30-4_63,1
1722,D30-4_64,7
1723,D30-4_65,6
1724,D30-4_66,1
1725,D30-4_67,1
1726,D30-4_69,2
1727,D30-4_71,1
1728,D30-4_73,2
1729,D30-4_74,2
1730,D30-4_75,3
1731,D30-4_76,1
1732,D30-4_77,2
1733,D30-4_78,7
1734,D30-4_79,1
1735,D30-4_80,4
1736,D30-4_81,5
1737,D30-4_82,5
1738,D30-4_83,1
1739,D30-4_85,3
1740,D30-4_86,2
1741,D30-4_87,2
1742,D30-4_88,2
1743,D30-4_90,1
1744,D30-4_91,6
1745,D30-4_92,6
1746,D30-4_93,6
1747,D30-4_94,2
1748,D30-5_3,7
1749,D30-5_4,7
1750,D30-5_5,6
1751,D30-5_7,1
1752,D30-5_8,3
1753,D30-5_9,6
1754,D30-5_10,3
1755,D30-5_11,4
1756,D30-5_12,4
1757,D30-5_13,3
1758,D30-5_14,2
1759,D30-5_15,7
1760,D30-5_17,4
1761,D30-5_18,4
1762,D30-5_20,3
1763,D30-5_21,1
1764,D30-5_22,4
1765,D30-5_23,2
1766,D30-5_24,3
1767,D30-5_26,3
1768,D30-5_27,3
1769,D30-5_28,3
1770,D30-5_29,7
1771,D30-5_31,6
1772,D30-5_32,1
1773,D30-5_33,3
1774,D30-5_34,6
1775,D30-5_35,4
1776,D30-5_36,5
1777,D30-5_37,2
1778,D30-5_38,6
1779,D30-5_39,3
1780,D30-5_40,1
1781,D30-5_41,7
1782,D30-5_42,6
1783,D30-5_43,2
1784,D30-5_44,6
1785,D30-5_45,5
1786,D30-5_46,6
1787,D30-5_48,3
1788,D30-5_49,1
1789,D30-5_50,6
1790,D30-5_51,3
1791,D30-5_53,2
1792,D30-5_54,2
1793,D30-5_55,3
1794,D30-5_56,1
1795,D30-5_57,1
1796,D30-5_58,6
1797,D30-5_59,7
1798,D30-5_61,6
1799,D30-5_62,2
1800,D30-5_63,3
1801,D30-5_64,6
1802,D30-5_65,3
1803,D30-5_66,2
1804,D30-5_67,3
1805,D30-5_69,1
1806,D30-5_70,2
1807,D30-5_71,2
1808,D30-5_72,7
1809,D30-5_73,2
1810,D30-5_74,4
1811,D30-5_75,3
1812,D30-5_76,4
1813,D30-5_78,6
1814,D30-5_79,5
1815,D30-5_80,7
1816,D30-5_81,6
1817,D30-5_82,4
1818,D30-5_83,3
1819,D30-5_84,3
1820,D30-5_85,4
1821,D30-5_88,2
1822,D30-5_89,5
1823,D30-5_90,7
1824,D30-5_91,4
1825,D30-5_92,3
1826,D30-5_94,3
1827,D30-6_1,2
1828,D30-6_2,2
1829,D30-6_3,7
1830,D30-6_4,2
1831,D30-6_5,5
1832,D30-6_6,4
1833,D30-6_7,3
1834,D30-6_9,3
1835,D30-6_10,7
1836,D30-6_11,1
1837,D30-6_12,6
1838,D30-6_13,4
1839,D30-6_14,1
1840,D30-6_15,1
1841,D30-6_16,3
1842,D30-6_17,7
1843,D30-6_18,1
1844,D30-6_19,2
1845,D30-6_20,6
1846,D30-6_21,1
1847,D30-6_22,2
1848,D30-6_23,7
1849,D30-6_24,3
1850,D30-6_25,6
1851,D30-6_26,3
1852,D30-6_27,7
1853,D30-6_28,7
1854,D30-6_30,3
1855,D30-6_31,3
1856,D30-6_32,2
1857,D30-6_33,2
1858,D30-6_34,6
1859,D30-6_35,4
1860,D30-6_36,3
1861,D30-6_37,5
1862,D30-6_38,1
1863,D30-6_39,2
1864,D30-6_40,5
1865,D30-6_41,2
1866,D30-6_42,2
1867,D30-6_44,5
1868,D30-6_45,3
1869,D30-6_46,2
1870,D30-6_47,1
1871,D30-6_48,6
1872,D30-6_49,4
1873,D30-6_50,2
1874,D30-6_51,2
1875,D30-6_52,6
1876,D30-6_53,4
1877,D30-6_54,1
1878,D30-6_55,2
1879,D30-6_56,1
1880,D30-6_57,6
1881,D30-6_58,4
1882,D30-6_59,1
1883,D30-6_60,1
1884,D30-6_61,6
1885,D30-6_62,2
1886,D30-6_63,3
1887,D30-6_64,6
1888,D30-6_66,2
1889,D30-6_67,2
1890,D30-6_68,1
1891,D30-6_69,6
1892,D30-6_70,2
1893,D30-6_71,3
1894,D30-6_72,2
1895,D30-6_74,2
1896,D30-6_75,2
1897,D30-6_76,1
1898,D30-6_77,6
1899,D30-6_78,6
1900,D30-6_79,1
1901,D30-6_80,5
1902,D30-6_81,3
1903,D30-6_82,2
1904,D30-6_83,1
1905,D30-6_84,7
1906,D30-6_85,2
1907,D30-6_86,6
1908,D30-6_87,2
1909,D30-6_88,2
1910,D30-6_89,2
1911,D30-6_90,4
1912,D30-6_91,2
1913,D30-6_92,4
1914,D30-6_93,7
1915,D30-6_94,1
1916,D30-7_1,5
1917,D30-7_2,2
1918,D30-7_4,1
1919,D30-7_5,3
1920,D30-7_6,2
1921,D30-7_7,4
1922,D30-7_8,2
1923,D30-7_9,2
1924,D30-7_10,3
1925,D30-7_11,5
1926,D30-7_12,3
1927,D30-7_13,4
1928,D30-7_14,2
1929,D30-7_15,6
1930,D30-7_16,2
1931,D30-7_17,6
1932,D30-7_18,2
1933,D30-7_20,5
1934,D30-7_21,1
1935,D30-7_22,1
1936,D30-7_23,4
1937,D30-7_24,5
1938,D30-7_25,3
1939,D30-7_26,2
1940,D30-7_28,5
1941,D30-7_29,4
1942,D30-7_30,7
1943,D30-7_31,4
1944,D30-7_32,4
1945,D30-7_33,7
1946,D30-7_35,6
1947,D30-7_36,3
1948,D30-7_38,7
1949,D30-7_39,5
1950,D30-7_40,2
1951,D30-7_41,2
1952,D30-7_42,2
1953,D30-7_43,3
1954,D30-7_44,1
1955,D30-7_45,2
1956,D30-7_46,6
1957,D30-7_47,2
1958,D30-7_48,1
1959,D30-7_49,2
1960,D30-7_51,6
1961,D30-7_52,2
1962,D30-7_53,4
1963,D30-7_54,1
1964,D30-7_55,4
1965,D30-7_56,1
1966,D30-7_57,2
1967,D30-7_60,3
1968,D30-7_61,2
1969,D30-7_62,1
1970,D30-7_63,1
1971,D30-7_64,2
1972,D30-7_65,2
1973,D30-7_66,2
1974,D30-7_67,2
1975,D30-7_68,2
1976,D30-7_70,1
1977,D30-7_71,2
1978,D30-7_72,7
1979,D30-7_73,2
1980,D30-7_74,6
1981,D30-7_75,2
1982,D30-7_76,1
1983,D30-7_77,2
1984,D30-7_78,2
1985,D30-7_79,1
1986,D30-7_80,1
1987,D30-7_81,7
1988,D30-7_83,6
1989,D30-7_84,7
1990,D30-7_85,6
1991,D30-7_86,7
1992,D30-7_87,3
1993,D30-7_88,7
1994,D30-7_89,4
1995,D30-7_90,7
1996,D30-7_91,5
1997,D30-7_92,2
1998,D30-7_93,2
1999,D30-7_94,1
2000,D30-8_1,2
2001,D30-8_2,2
2002,D30-8_3,4
2003,D30-8_4,6
2004,D30-8_5,2
2005,D30-8_6,1
2006,D30-8_7,2
2007,D30-8_8,6
2008,D30-8_9,4
2009,D30-8_10,2
2010,D30-8_11,2
2011,D30-8_12,1
2012,D30-8_13,2
2013,D30-8_14,1
2014,D30-8_15,7
2015,D30-8_16,6
2016,D30-8_17,1
2017,D30-8_18,7
2018,D30-8_19,2
2019,D30-8_20,3
2020,D30-8_21,7
2021,D30-8_23,2
2022,D30-8_25,7
2023,D30-8_26,3
2024,D30-8_27,1
2025,D30-8_28,3
2026,D30-8_29,6
2027,D30-8_31,3
2028,D30-8_32,4
2029,D30-8_33,5
2030,D30-8_34,7
2031,D30-8_35,1
2032,D30-8_36,5
2033,D30-8_37,5
2034,D30-8_38,6
2035,D30-8_39,3
2036,D30-8_40,4
2037,D30-8_43,2
2038,D30-8_44,2
2039,D30-8_45,1
2040,D30-8_46,1
2041,D30-8_47,2
2042,D30-8_48,3
2043,D30-8_49,1
2044,D30-8_50,7
2045,D30-8_51,1
2046,D30-8_52,2
2047,D30-8_53,2
2048,D30-8_54,2
2049,D30-8_55,4
2050,D30-8_57,7
2051,D30-8_59,1
2052,D30-8_60,7
2053,D30-8_62,1
2054,D30-8_63,5
2055,D30-8_64,2
2056,D30-8_65,5
2057,D30-8_66,4
2058,D30-8_67,2
2059,D30-8_68,1
2060,D30-8_69,5
2061,D30-8_70,2
2062,D30-8_71,2
2063,D30-8_73,1
2064,D30-8_74,1
2065,D30-8_75,2
2066,D30-8_76,2
2067,D30-8_77,2
2068,D30-8_78,2
2069,D30-8_80,1
2070,D30-8_81,5
2071,D30-8_82,6
2072,D30-8_83,2
2073,D30-8_84,5
2074,D30-8_85,1
2075,D30-8_86,4
2076,D30-8_87,7
2077,D30-8_88,4
2078,D30-8_89,2
2079,D30-8_90,2
2080,D30-8_91,7
2081,D30-8_92,2
2082,D30-8_93,6
2083,D30-8_94,7
